WDPAID,median,upper,lower
36673,0.344,0.615,0.209
26456,0.684,0.873,0.453
36497,0.328,0.535,0.171
20978,0.429,0.676,0.206
300869,0.626,0.821,0.379
40781,0.524,0.811,0.386
26451,0.464,0.744,0.287
555547525,0.647,0.867,0.439
40766,0.506,0.808,0.348
9034,0.225,0.364,0.098
29534,0.591,0.818,0.38
40767,0.506,0.808,0.348
555547523,0.481,0.719,0.268
3214,0.481,0.719,0.268
36752,0.487,0.868,0.275
26440,0.555,0.853,0.37
36953,0.495,0.707,0.311
37021,0.5,0.661,0.345
36858,0.486,0.789,0.324
36770,0.447,0.824,0.275
36845,0.417,0.764,0.231
72350,0.332,0.551,0.095
36268,0.414,0.649,0.258
36860,0.451,0.756,0.3
300911,0.601,0.803,0.43
36562,0.315,0.499,0.146
40845,0.511,0.739,0.358
354003,0.455,0.744,0.318
36919,0.433,0.724,0.3
40672,0.53,0.768,0.383
40768,0.482,0.794,0.336
40769,0.446,0.796,0.324
36629,0.469,0.891,0.248
36921,0.491,0.779,0.314
36769,0.447,0.828,0.274
300895,0.629,0.817,0.441
37119,0.334,0.511,0.184
36729,0.543,0.901,0.208
36818,0.504,0.765,0.279
37012,0.5,0.661,0.345
37121,0.516,0.84,0.346
7957,0.478,0.816,0.256
5159,0.542,0.822,0.324
36964,0.527,0.754,0.35
36957,0.527,0.754,0.35
26454,0.684,0.873,0.453
29580,0.616,0.825,0.412
67727,0.28,0.36,0.09
9024,0.277,0.399,0.094
40792,0.543,0.776,0.379
36847,0.435,0.809,0.28
40793,0.55,0.794,0.384
36439,0.327,0.549,0.139
40691,0.536,0.724,0.361
36743,0.486,0.86,0.264
37026,0.534,0.74,0.347
36586,0.492,0.868,0.288
36476,0.326,0.601,0.121
36872,0.536,0.864,0.308
36962,0.495,0.707,0.311
36853,0.456,0.835,0.29
36945,0.439,0.732,0.267
26455,0.684,0.873,0.453
36949,0.482,0.707,0.303
36842,0.447,0.67,0.237
36834,0.43,0.632,0.285
36644,0.379,0.62,0.233
36645,0.362,0.607,0.226
36935,0.45,0.743,0.282
36841,0.458,0.695,0.259
36773,0.424,0.799,0.257
555556068,0.329,0.829,0.145
7864,0.437,0.836,0.22
36556,0.447,0.843,0.223
36253,0.37,0.52,0.258
36484,0.333,0.576,0.128
36859,0.486,0.789,0.324
37122,0.569,0.885,0.357
40747,0.507,0.822,0.347
36736,0.479,0.816,0.245
303944,0.424,0.723,0.213
36661,0.388,0.646,0.243
