WDPAID,median,upper,lower
36673,0.323,0.399,0.222
26456,0.534,0.649,0.462
36497,0.227,0.349,0.144
20978,0.342,0.439,0.205
300869,0.501,0.564,0.363
40781,0.449,0.584,0.364
26451,0.369,0.483,0.31
555547525,0.514,0.609,0.374
40766,0.46,0.571,0.37
9034,0.272,0.388,0.212
29534,0.496,0.593,0.361
40767,0.46,0.571,0.37
555547523,0.437,0.61,0.25
3214,0.437,0.61,0.25
36752,0.346,0.529,0.213
26440,0.435,0.552,0.359
36953,0.407,0.499,0.344
37021,0.39,0.458,0.307
36858,0.454,0.538,0.33
36770,0.349,0.512,0.228
36845,0.355,0.477,0.216
72350,0.54,0.608,0.392
36268,0.305,0.527,0.177
36860,0.424,0.519,0.324
300911,0.471,0.571,0.373
36562,0.234,0.328,0.155
40845,0.415,0.528,0.343
354003,0.442,0.535,0.36
36919,0.432,0.53,0.347
40672,0.439,0.535,0.344
40768,0.434,0.554,0.351
40769,0.429,0.548,0.355
36629,0.319,0.495,0.223
36921,0.442,0.532,0.349
36769,0.36,0.506,0.234
300895,0.488,0.578,0.38
37119,0.308,0.41,0.223
36729,0.405,0.525,0.228
36818,0.393,0.473,0.338
37012,0.39,0.458,0.307
37121,0.402,0.514,0.324
7957,0.361,0.488,0.259
5159,0.408,0.478,0.31
36964,0.457,0.55,0.384
36957,0.457,0.55,0.384
26454,0.534,0.649,0.462
29580,0.5,0.567,0.346
67727,0.491,0.569,0.336
9024,0.481,0.573,0.335
40792,0.438,0.546,0.348
36847,0.411,0.509,0.266
40793,0.438,0.558,0.363
36439,0.234,0.372,0.147
40691,0.422,0.554,0.353
36743,0.382,0.543,0.244
37026,0.434,0.537,0.355
36586,0.325,0.488,0.198
36476,0.251,0.378,0.143
36872,0.418,0.559,0.277
36962,0.407,0.499,0.344
36853,0.429,0.518,0.276
36945,0.429,0.529,0.344
26455,0.534,0.649,0.462
36949,0.403,0.503,0.334
36842,0.36,0.437,0.298
36834,0.351,0.424,0.296
36644,0.274,0.385,0.19
36645,0.274,0.389,0.198
36935,0.425,0.523,0.335
36841,0.37,0.455,0.325
36773,0.344,0.438,0.198
555556068,0.461,0.601,0.366
